"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', 'nN')",[5343]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  targetNamespace=""http://www.imsglobal.org/imspurl/lti/v2/xsd/ltid#""')",[32208]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The date and time when the message was created."" .')",[30149]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""A human-friendly label for this ResultStatus.""')",[43565]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      pm:sourceId;')",[28119]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    bind:onProperty pm:action ;')",[26263]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  a bind:TargetNamespace ;')","[27046, 32933, 33455, 34209, 37533]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment """"""The absolute maximum number of points that a learner may earn including extra credit.')",[51395]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:NumericLimits rdf:type owl:Class ;')",[44406]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range po:ResultStatus ;')",[49713]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'test(org.semantictools.frame.model.FieldTest)')","[57, 525]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:resultStatus;')",[41883]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  <LI> <em>NumericLimits</em> which is used when scores are submitted as numerical values such as a decimal between 0 and 100, or some other well defined limit.')",[44290]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      po:AssignmentResult')",[46465]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment """"""The absolute maximum number of points that a learner may earn including extra credit.')",[44696]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:assignment;')",[38461]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""The number of points subtracted from the learner\'s score due to a penalty such as submitting the assignment after the due date.""')",[41129]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'This value does <em>not</em> take into account the effects of curving.')","[42202, 50003]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'org.semantictools.frame.api.DatatypeReaderTest')","[137, 70567]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The version of the header information."" .')",[29714]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range xsd:dateTime ;')","[30120, 30555, 46552, 48118, 48263]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:includedInGrade;')",[38055]
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://purl.org/pearson/ed/v1/vocab/psoe#')","[62789, 64199, 64579, 65518, 67405, 67760]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Complete rdf:type po:ResultStatus ;')",[52787]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ] ; ')","[28322, 28757, 39331, 39969, 40288, 40636, 40926, 42811, 43072, 43362, 43594, 43826, 45218, 45624, 46030]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '([\\s\\S]*)\\((.*)\\)', 'test(org.semantictools.uml.api.DocumentationTest)')","[322, 723]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment """"""The class of individuals that serve as both GradebookItemVitality and ResultVitality values.')",[44029]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""The version of the header information.""')",[27278]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:savedReason;')",[41767]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    rdfs:comment ""A container that holds information about the assignment such as the number of points that a learner can earn on the assignment.""')",[38519]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:AssignmentResultEvent rdf:type owl:Class ;')",[43188]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'pm:MessageHeader rdf:type owl:Class;')",[27133]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    owl:onProperty      po:enabledCapability;')",[39186]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', ' The instances of ResultReason are extensible.  Each learning application is expected to define its own vocabulary.  A ResultReason object consists of a URI which serves as a unique identifier and a human-friendly label."""""" .')",[43130]
