"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InterceptFieldFilter.java')","[21966, 45326, 68712, 92072, 115997, 138889, 161691]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BeanGenerator.java')","[21206, 44566, 67952, 91312, 115218, 138148, 160950]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'org.nuunframework.kernel.plugin.Plugin')","[16726, 40086, 63472, 86832, 110626, 133780, 156582]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldReader.java')","[12606, 35966, 59352, 82712, 106403, 129763, 152565]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'bindings(org.nuunframework.cli.NuunCliPluginCallableItTest)')","[219, 385]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'OngoingStubbing.java')","[2766, 26126, 49512, 72872, 96317, 120169, 142971]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockCreationSettings.java')","[7686, 31046, 54432, 77792, 101360, 124966, 147768]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockUtil.java')","[2046, 25406, 48792, 72152, 95579, 119467, 142269]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Matches.java')","[5806, 29166, 52552, 75912, 99433, 123133, 145935]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldInitializationReport.java')","[4486, 27846, 51232, 74592, 98080, 121846, 144648]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'EqualsWithDelta.java')","[20966, 44326, 67712, 91072, 114972, 137914, 160716]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ContainsExtraTypeInformation.java')","[2366, 25726, 49112, 72472, 95907, 119779, 142581]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BulkBeanException.java')","[17526, 40886, 64272, 87632, 111446, 134560, 157362]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'package.html')","[9966, 33326, 56712, 80072, 103697, 127189, 149991]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassNameFinder.java')","[5046, 28406, 51792, 75152, 98654, 122392, 145194]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInterceptorGenerator.java')","[5206, 28566, 51952, 75312, 98818, 122548, 145350]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassGenerator.java')","[15246, 38606, 61992, 85352, 109109, 132337, 155139]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FastMethod.java')","[9686, 33046, 56432, 79792, 103410, 126916, 149718]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AtLeast.java')","[13246, 36606, 59992, 83352, 107059, 130387, 153189]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DoesNothing.java')","[12726, 36086, 59472, 82832, 106526, 129880, 152682]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ReturnsElementsOf.java')","[19006, 42366, 65752, 89112, 112963, 136003, 158805]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GCJSerializationInstantiator.java')","[17846, 41206, 64592, 87952, 111774, 134872, 157674]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'bindings(org.nuunframework.cli.NuunRunnerTest)')","[259, 406]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnyOf.java')","[22326, 45686, 69072, 92432, 116366, 139240, 162042]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BeanCopier.java')","[15886, 39246, 62632, 85992, 109765, 132961, 155763]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Mock.java')","[1206, 24566, 47952, 71312, 94718, 118648, 141450]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ThreadSafeMockingProgress.java')","[10086, 33446, 56832, 80192, 103820, 127306, 150108]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassFilter.java')","[23606, 46966, 70352, 93712, 117678, 140488, 163290]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockName.java')","[9726, 33086, 56472, 79832, 103451, 126955, 149757]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationContainer.java')","[2486, 25846, 49232, 72592, 96030, 119896, 142698]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultGeneratorStrategy.java')","[11326, 34686, 58072, 81432, 105091, 128515, 151317]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockHandlerFactory.java')","[3366, 26726, 50112, 73472, 96932, 120754, 143556]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WillClose.java')","[13326, 36686, 60072, 83432, 107141, 130465, 153267]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BeanMapEmitter.java')","[19486, 42846, 66232, 89592, 113455, 136471, 159273]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InterfaceMaker.java')","[17206, 40566, 63952, 87312, 111118, 134248, 157050]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InOrderContextImpl.java')","[3486, 26846, 50232, 73592, 97055, 120871, 143673]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CompareEqual.java')","[22846, 46206, 69592, 92952, 116899, 139747, 162549]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockingDetails.java')","[20846, 44206, 67592, 90952, 114849, 137797, 160599]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BulkBeanEmitter.java')","[4206, 27566, 50952, 74312, 97793, 121573, 144375]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TransformingClassLoader.java')","[3086, 26446, 49832, 73192, 96645, 120481, 143283]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'WrongTypeOfReturnValue.java')","[15126, 38486, 61872, 85232, 108986, 132220, 155022]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MissingMethodInvocationException.java')","[22926, 46286, 69672, 93032, 116981, 139825, 162627]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InterceptFieldEnabled.java')","[5886, 29246, 52632, 75992, 99515, 123211, 146013]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VisibilityPredicate.java')","[21006, 44366, 67752, 91112, 115013, 137953, 160755]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultNamingPolicy.java')","[17246, 40606, 63992, 87352, 111159, 134287, 157089]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationHandlerGenerator.java')","[3286, 26646, 50032, 73392, 96850, 120676, 143478]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NumberOfInvocationsChecker.java')","[15366, 38726, 62112, 85472, 109232, 132454, 155256]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IincInsnNode.java')","[10166, 33526, 56912, 80272, 103902, 127384, 150186]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'OverridingMethodsMustInvokeSuper.java')","[3526, 26886, 50272, 73632, 97096, 120910, 143712]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ObjenesisStd.java')","[2726, 26086, 49472, 72832, 96276, 120130, 142932]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationNotifierHandler.java')","[13526, 36886, 60272, 83632, 107346, 130660, 153462]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FastMember.java')","[5646, 29006, 52392, 75752, 99269, 122977, 145779]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentsComparator.java')","[21646, 45006, 68392, 91752, 115669, 138577, 161379]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RunnerProvider.java')","[8246, 31606, 54992, 78352, 101934, 125512, 148314]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UndeclaredThrowableException.java')","[21086, 44446, 67832, 91192, 115095, 138031, 160833]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentsAreDifferent.java')","[23446, 46806, 70192, 93552, 117514, 140332, 163134]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerboseMockitoJUnitRunner.java')","[11486, 34846, 58232, 81592, 105255, 128671, 151473]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoAssertionError.java')","[19406, 42766, 66152, 89512, 113373, 136393, 159195]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NullInsteadOfMockException.java')","[8806, 32166, 55552, 78912, 102508, 126058, 148860]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockCandidateFilter.java')","[14646, 38006, 61392, 84752, 108494, 131752, 154554]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultInjectionEngine.java')","[4926, 28286, 51672, 75032, 98531, 122275, 145077]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoAnnotations.java')","[4966, 28326, 51712, 75072, 98572, 122314, 145116]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockInjectionStrategy.java')","[9606, 32966, 56352, 79712, 103328, 126838, 149640]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AnnotationNode.java')","[13926, 37286, 60672, 84032, 107756, 131050, 153852]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassPathLoader.java')","[11606, 34966, 58352, 81712, 105378, 128788, 151590]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationWithTimeoutImpl.java')","[22646, 46006, 69392, 92752, 116694, 139552, 162354]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TestMethodsFinder.java')","[12926, 36286, 59672, 83032, 106731, 130075, 152877]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceAnnotationVisitor.java')","[926, 24286, 47672, 71032, 94431, 118375, 141177]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'objenesis-license.txt')","[7726, 31086, 54472, 77832, 101401, 125005, 147807]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'IsNot.java')","[12326, 35686, 59072, 82432, 106116, 129490, 152292]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'HashCodeAndEqualsMockWrapper.java')","[23166, 46526, 69912, 93272, 117227, 140059, 162861]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Find.java')","[22526, 45886, 69272, 92632, 116571, 139435, 162237]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Signed.java')","[15286, 38646, 62032, 85392, 109150, 132376, 155178]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'BeanPropertySetter.java')","[1966, 25326, 48712, 72072, 95497, 119389, 142191]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldCopier.java')","[16206, 39566, 62952, 86312, 110093, 133273, 156075]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'org.nuunframework.cli.NuunCliPluginCallableTest')","[97, 93898]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InsnList.java')","[1446, 24806, 48192, 71552, 94964, 118882, 141684]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Customizer.java')","[11406, 34766, 58152, 81512, 105173, 128593, 151395]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Mixin.java')","[6446, 29806, 53192, 76552, 100089, 123757, 146559]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SunReflectionFactoryInstantiator.java')","[12246, 35606, 58992, 82352, 106034, 129412, 152214]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'cglib-license.txt')","[12766, 36126, 59512, 82872, 106567, 129919, 152721]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Checks.java')","[8926, 32286, 55672, 79032, 102631, 126175, 148977]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DuplicatesPredicate.java')","[2926, 26286, 49672, 73032, 96481, 120325, 143127]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Subroutine.java')","[20086, 43446, 66832, 90192, 114070, 137056, 159858]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StackTraceFilter.java')","[15646, 39006, 62392, 85752, 109519, 132727, 155529]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockMaker.java')","[10366, 33726, 57112, 80472, 104107, 127579, 150381]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ScenarioPrinter.java')","[10006, 33366, 56752, 80112, 103738, 127228, 150030]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CheckSignatureAdapter.java')","[16046, 39406, 62792, 86152, 109929, 133117, 155919]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArrayEquals.java')","[20206, 43566, 66952, 90312, 114193, 137173, 159975]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoAnnotationsMockAnnotationProcessor.java')","[19246, 42606, 65992, 89352, 113209, 136237, 159039]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'TraceAbstractVisitor.java')","[766, 24126, 47512, 70872, 94267, 118219, 141021]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MatchersPrinter.java')","[14166, 37526, 60912, 84272, 108002, 131284, 154086]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Null.java')","[7606, 30966, 54352, 77712, 101278, 124888, 147690]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationListener.java')","[14806, 38166, 61552, 84912, 108658, 131908, 154710]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'hamcrest-license.txt')","[15526, 38886, 62272, 85632, 109396, 132610, 155412]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SpyAnnotationEngine.java')","[2446, 25806, 49192, 72552, 95989, 119857, 142659]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StdInstantiatorStrategy.java')","[23286, 46646, 70032, 93392, 117350, 140176, 162978]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CodeEmitter.java')","[6406, 29766, 53152, 76512, 100048, 123718, 146520]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DescribedAs.java')","[23486, 46846, 70232, 93592, 117555, 140371, 163173]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CallbackFilter.java')","[7246, 30606, 53992, 77352, 100909, 124537, 147339]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Description.java')","[6566, 29926, 53312, 76672, 100212, 123874, 146676]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StartsWith.java')","[22206, 45566, 68952, 92312, 116243, 139123, 161925]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConstructorInstantiator.java')","[18526, 41886, 65272, 88632, 112471, 135535, 158337]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Reporter.java')","[2966, 26326, 49712, 73072, 96522, 120364, 143166]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'UnusedStubsFinder.java')","[3206, 26566, 49952, 73312, 96768, 120598, 143400]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'RemoveFirstLine.java')","[7966, 31326, 54712, 78072, 101647, 125239, 148041]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Detainted.java')","[14926, 38286, 61672, 85032, 108781, 132025, 154827]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AdditionalMatchers.java')","[19846, 43206, 66592, 89952, 113824, 136822, 159624]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CapturesArgumensFromInvocation.java')","[13366, 36726, 60112, 83472, 107182, 130504, 153306]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NullResultGuardian.java')","[13446, 36806, 60192, 83552, 107264, 130582, 153384]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Returns.java')","[7526, 30886, 54272, 77632, 101196, 124810, 147612]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassEmitterTransformer.java')","[4326, 27686, 51072, 74432, 97916, 121690, 144492]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Same.java')","[13126, 36486, 59872, 83232, 106936, 130270, 153072]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LoggingListener.java')","[7806, 31166, 54552, 77912, 101483, 125083, 147885]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ExceptionIncludingMockitoWarnings.java')","[6166, 29526, 52912, 76272, 99802, 123484, 146286]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StubberImpl.java')","[6526, 29886, 53272, 76632, 100171, 123835, 146637]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassWriter.java')","[17766, 41126, 64512, 87872, 111692, 134794, 157596]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ArgumentMatcher.java')","[18886, 42246, 65632, 88992, 112840, 135886, 158688]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockSettings.java')","[9206, 32566, 55952, 79312, 102918, 126448, 149250]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Handler.java')","[22366, 45726, 69112, 92472, 116407, 139279, 162081]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InterceptFieldCallback.java')","[4846, 28206, 51592, 74952, 98449, 122197, 144999]"
