"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'null')",[17]
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FieldProviderTransformer.java')","[9566, 32926, 56312, 79672, 103287, 126799, 149601]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NoOp.java')","[14566, 37926, 61312, 84672, 108412, 131674, 154476]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoNamingPolicy.java')","[18646, 42006, 65392, 88752, 112594, 135652, 158454]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ConsoleMockitoLogger.java')","[10646, 34006, 57392, 80752, 104394, 127852, 150654]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CallbackGenerator.java')","[18006, 41366, 64752, 88112, 111938, 135028, 157830]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Untainted.java')","[3766, 27126, 50512, 73872, 97342, 121144, 143946]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CGLIBHacker.java')","[19606, 42966, 66352, 89712, 113578, 136588, 159390]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockitoException.java')","[18806, 42166, 65552, 88912, 112758, 135808, 158610]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NumberOfInvocationsInOrderChecker.java')","[2646, 26006, 49392, 72752, 96194, 120052, 142854]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'GloballyConfiguredAnswer.java')","[13886, 37246, 60632, 83992, 107715, 131011, 153813]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CollectionUtils.java')","[5606, 28966, 52352, 75712, 99228, 122938, 145740]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'InvocationsFinder.java')","[18086, 41446, 64832, 88192, 112020, 135106, 157908]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'CallbackHelper.java')","[10046, 33406, 56792, 80152, 103779, 127267, 150069]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'EmitUtils.java')","[16686, 40046, 63432, 86792, 110585, 133741, 156543]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'StringJoiner.java')","[7486, 30846, 54232, 77592, 101155, 124771, 147573]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'DefaultStackTraceCleaner.java')","[1566, 24926, 48312, 71672, 95087, 118999, 141801]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationMode.java')","[5006, 28366, 51752, 75112, 98613, 122353, 145155]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MockingProgress.java')","[446, 23806, 47192, 70552, 93939, 117907, 140709]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'AccessibleInstantiator.java')","[18606, 41966, 65352, 88712, 112553, 135613, 158415]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Objenesis.java')","[2606, 25966, 49352, 72712, 96153, 120013, 142815]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'ClassEmitter.java')","[16366, 39726, 63112, 86472, 110257, 133429, 156231]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'LineNumberNode.java')","[18686, 42046, 65432, 88792, 112635, 135691, 158493]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'SorterTemplate.java')","[2886, 26246, 49632, 72992, 96440, 120286, 143088]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NotThreadSafe.java')","[15406, 38766, 62152, 85512, 109273, 132493, 155295]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'MethodInsnNode.java')","[4286, 27646, 51032, 74392, 97875, 121651, 144453]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'FinalMockCandidateFilter.java')","[10606, 33966, 57352, 80712, 104353, 127813, 150615]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'VerificationWithTimeout.java')","[4086, 27446, 50832, 74192, 97670, 121456, 144258]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'NotifiedMethodInvocationReport.java')","[9806, 33166, 56552, 79912, 103533, 127033, 149835]"
"('Reflections.java', 'org.reflections.Reflections$2', 'apply', 'nuun-.*\\.properties', 'Attribute.java')","[20126, 43486, 66872, 90232, 114111, 137095, 159897]"
