"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testFreemarkerConditionalParams(com.base2.kagura.core.report.connectors.JDBCDataReportConnectorTest)')","[1781, 3393, 5078, 6261, 7768, 10367, 12187, 14112, 16567, 19002, 20718, 22523, 24925, 27688, 29612, 31657, 34517, 37526, 39606, 41831, 44731, 47904, 50088, 55087, 56865]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', '1.6.2')","[237747, 238311, 238875, 239439, 241788, 244044, 260586, 346461]"
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', '1.7.9')","[59484, 59709, 59939, 60016, 60091, 60167, 60243, 60320, 60398, 60476, 60709, 60785, 60862, 61097, 61174, 61261, 61349, 61437, 61525, 61614, 61701, 61789, 61877, 61965, 62054, 62143, 62231, 62320, 62409, 62497, 62586, 62673, 62761, 62849, 62937, 63026, 63115, 63203, 63292, 63381, 63469, 63558, 63710, 70750, 70825, 70900, 70975, 71050, 71121, 71618, 72129, 372344, 376530, 376605, 381749, 381995, 382157, 382239, 382321, 382403, 382485, 382567, 382649, 382727, 383273, 383833, 483733]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'testFreemarkerWhereExtensionWithComplicatedNestedWhereParams(com.base2.kagura.core.report.connectors.JDBCDataReportConnectorTest)')","[2680, 2711, 2742, 4292, 4323, 4354, 5774, 5798, 5822, 8638, 8668, 8698, 11382, 11417, 11452, 13202, 13237, 13272, 14924, 14952, 14980, 17379, 17407, 17435, 19959, 19992, 20025, 21675, 21708, 21741, 23277, 23303, 23329, 25853, 25885, 25917, 28761, 28798, 28835, 30685, 30722, 30759, 32527, 32557, 32587, 35532, 35567, 35602, 38686, 38726, 38766, 40766, 40806, 40846, 42788, 42821, 42854, 45804, 45841, 45878, 49122, 49164, 49206, 51306, 51348, 51390, 56247, 56287, 56327, 58083, 58125, 58167]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testFreemarkerRequiresLimit(com.base2.kagura.core.report.connectors.JDBCDataReportConnectorTest)')","[2153, 3765, 5366, 6324, 8128, 10787, 12607, 14448, 16903, 19398, 21114, 22835, 25309, 28132, 30056, 32017, 34937, 38006, 40086, 42227, 45175, 48408, 50592, 55567, 57369]"
"('LatestRevisionStrategy.java', 'org.apache.ivy.plugins.latest.LatestRevisionStrategy$MridComparator', 'isNumber', '\\d+', 'jenkins')","[248840, 248934, 275531, 275625, 336003, 336099, 336579, 336675]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'testFreemarkerParams(com.base2.kagura.core.report.connectors.JDBCDataReportConnectorTest)')","[1657, 3269, 4982, 6240, 7648, 10227, 12047, 14000, 16455, 18870, 20586, 22419, 24797, 27540, 29464, 31537, 34377, 37366, 39446, 41699, 44583, 47736, 49920, 54927, 56697]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'com.base2.kagura.core.report.configmodel.GroovyReportTest')","[428, 7386, 16211, 24517, 34070, 44258]"
"('DefaultRepositoryCacheManager.java', 'org.apache.ivy.core.cache.DefaultRepositoryCacheManager', 'isChanging', '.*', '2.9.9')",[357705]
"('VersionRangeMatcher.java', 'org.apache.ivy.plugins.version.VersionRangeMatcher', 'isDynamic', '[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|\\(\\s*\\,\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*[\\]\\[\\)]|[\\[\\]\\(]\\s*([^\\s,\\[\\]\\(\\]\\[\\)\\(\\)]+)\\s*\\,\\s*\\)', 'maven-metadata-apache.xml')","[281733, 282297, 282861, 284646, 286338, 289722, 306453, 326193, 331589, 331972]"
