"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'q')","[95486, 95535]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', ' ')","[941, 990, 1436, 1485, 2426, 2475, 2921, 2970, 4010, 4059, 4307, 4356, 4604, 4653, 5396, 5445, 6386, 6435, 6782, 6831, 7178, 7227, 7871, 7920, 8960, 9009, 9851, 9900, 10247, 10296, 10742, 10791, 11930, 11979, 12920, 12969, 13316, 13365, 13910, 13959, 14306, 14355, 14801, 14850, 15098, 15147, 15593, 15642, 16385, 16434, 18365, 18414, 18761, 18810, 19751, 19800, 20642, 20691, 20840, 20889, 21533, 21582, 21929, 21978, 23117, 23166, 23414, 23463, 23612, 23661, 24503, 24552, 25394, 25443, 25790, 25839, 26186, 26235, 27374, 27423, 27572, 27621, 28364, 28413, 28958, 29007, 29255, 29304, 30839, 30888, 31235, 31284, 32423, 32472, 32819, 32868, 33215, 33264, 33512, 33561, 34502, 34551, 34997, 35046, 35294, 35343, 35690, 35739, 36977, 37026, 37967, 38016, 38363, 38412, 39650, 39699, 40640, 40689, 40937, 40986, 41828, 41877, 42917, 42966, 43214, 43263, 43610, 43659, 44204, 44253, 44699, 44748, 45392, 45441, 45590, 45639, 46877, 46926, 47471, 47520, 47966, 48015, 49253, 49302, 50144, 50193, 50639, 50688, 51332, 51381, 52421, 52470, 53708, 53757, 54302, 54351, 54995, 55044, 55292, 55341, 55589, 55638, 56678, 56727, 56975, 57024, 57272, 57321, 57668, 57717, 58757, 58806, 59252, 59301, 60242, 60291, 60737, 60786, 61430, 61479, 62024, 62073, 62915, 62964, 63707, 63756, 64004, 64053, 64400, 64449, 64994, 65043, 65588, 65637, 66776, 66825, 67073, 67122, 68162, 68211, 68459, 68508, 68855, 68904, 69251, 69300, 69647, 69696, 69944, 69993, 70340, 70389, 70934, 70983, 71528, 71577, 72023, 72072, 72419, 72468, 73904, 73953, 74696, 74745, 75488, 75537, 76973, 77022, 77270, 77319, 77765, 77814, 78359, 78408, 78656, 78705, 79943, 79992, 80339, 80388, 81626, 81675, 82616, 82665, 82913, 82962, 83309, 83358, 84299, 84348, 85190, 85239, 85685, 85734, 86081, 86130, 86873, 86922, 87665, 87714, 89150, 89199, 90140, 90189, 90932, 90981, 92219, 92268, 92516, 92565, 92912, 92961, 93704, 93753, 94100, 94149, 95090, 95139, 96278, 96327, 96773, 96822, 97664, 97713, 98456, 98505, 98852, 98901, 99545, 99594, 100535, 100584, 101822, 101871, 102218, 102267, 103505, 103554, 104495, 104544, 104792, 104841, 105188, 105237, 105782, 105831, 106277, 106326, 106673, 106722, 107069, 107118, 108158, 108207, 108653, 108702, 109049, 109098, 110534, 110583, 110831, 110880, 111623, 111672, 113009, 113058, 113306, 113355, 113702, 113751, 114494, 114543, 115484, 115533]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'd')","[3119, 3168, 3911, 3960, 6683, 6732, 9455, 9504, 10148, 10197, 12821, 12870, 14207, 14256, 15692, 15741, 32720, 32769, 47867, 47916, 52223, 52272, 54896, 54945, 58658, 58707, 59351, 59400, 60143, 60192, 63311, 63360, 65489, 65538, 69548, 69597, 74003, 74052, 76082, 76131, 78161, 78210, 79844, 79893, 85982, 86031, 88259, 88308, 91031, 91080, 94001, 94050, 97565, 97614, 108059, 108108, 112217, 112266, 114098, 114147, 114395, 114444]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'n')","[2228, 2277, 3317, 3366, 4208, 4257, 5990, 6039, 6584, 6633, 7772, 7821, 8663, 8712, 10049, 10098, 12524, 12573, 14108, 14157, 19553, 19602, 26384, 26433, 27275, 27324, 30641, 30690, 31334, 31383, 32621, 32670, 33413, 33462, 34304, 34353, 35195, 35244, 35888, 35937, 37571, 37620, 41729, 41778, 44501, 44550, 45887, 45936, 47273, 47322, 49154, 49203, 50936, 50985, 51431, 51480, 55886, 55935, 56381, 56430, 60539, 60588, 61034, 61083, 65390, 65439, 66677, 66726, 68360, 68409, 69449, 69498, 69845, 69894, 71231, 71280, 75191, 75240, 76280, 76329, 77171, 77220, 78854, 78903, 82814, 82863, 84200, 84249, 85883, 85932, 87368, 87417, 88457, 88506, 92120, 92169, 93902, 93951, 94397, 94446, 95783, 95832, 98357, 98406, 104693, 104742, 106079, 106128, 106772, 106821, 111326, 111375, 112415, 112464, 113207, 113256, 115385, 115434, 116474, 116523]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '-')","[21335, 21384, 22424, 22473, 27968, 28017]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '0')","[10544, 10593, 42521, 42570, 99941, 99990, 100139, 100188]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', '8')","[14603, 14652, 22226, 22275, 27473, 27522, 28067, 28116, 42323, 42372, 69152, 69201]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'e')","[842, 891, 2624, 2673, 2822, 2871, 3218, 3267, 3812, 3861, 5891, 5940, 9554, 9603, 12722, 12771, 15989, 16038, 16286, 16335, 16781, 16830, 16979, 17028, 18662, 18711, 19058, 19107, 19652, 19701, 19949, 19998, 20147, 20196, 23909, 23958, 24701, 24750, 24899, 24948, 26087, 26136, 26582, 26631, 26879, 26928, 29552, 29601, 31433, 31482, 34898, 34947, 35591, 35640, 37175, 37224, 37769, 37818, 38264, 38313, 43511, 43560, 44402, 44451, 44600, 44649, 45194, 45243, 46085, 46134, 46778, 46827, 51233, 51282, 51827, 51876, 52322, 52371, 54500, 54549, 54599, 54648, 54797, 54846, 55490, 55539, 58559, 58608, 59450, 59499, 59747, 59796, 60044, 60093, 61232, 61281, 62321, 62370, 63509, 63558, 67964, 68013, 68756, 68805, 70241, 70290, 71132, 71181, 71330, 71379, 72320, 72369, 74300, 74349, 74597, 74646, 75686, 75735, 78557, 78606, 79052, 79101, 79745, 79794, 80240, 80289, 84794, 84843, 87863, 87912, 92813, 92862, 93308, 93357, 94298, 94347, 95387, 95436, 95684, 95733, 96080, 96129, 96476, 96525, 96674, 96723, 97169, 97218, 97466, 97515, 97862, 97911, 98159, 98208, 98258, 98307, 98753, 98802, 102119, 102168, 105089, 105138, 105980, 106029, 106178, 106227, 107960, 108009, 108950, 108999, 109544, 109593, 111821, 111870, 113603, 113652, 114296, 114345]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'a')","[149, 198, 446, 495, 1832, 1881, 5594, 5643, 6485, 6534, 8267, 8316, 9950, 9999, 12029, 12078, 14009, 14058, 16088, 16137, 16484, 16533, 22523, 22572, 22919, 22968, 23513, 23562, 29849, 29898, 30245, 30294, 30542, 30591, 32522, 32571, 33017, 33066, 33314, 33363, 34205, 34254, 36185, 36234, 36482, 36531, 40739, 40788, 44897, 44946, 45491, 45540, 46382, 46431, 46976, 47025, 47570, 47619, 56480, 56529, 56777, 56826, 57470, 57519, 57767, 57816, 58361, 58410, 59846, 59895, 60935, 60984, 65687, 65736, 66281, 66330, 67271, 67320, 69350, 69399, 73112, 73161, 73706, 73755, 74399, 74448, 79547, 79596, 83606, 83655, 84101, 84150, 85784, 85833, 90734, 90783, 93011, 93060, 93803, 93852, 106475, 106524, 107168, 107217, 107762, 107811, 114791, 114840, 115286, 115335, 116078, 116127]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'L')","[10346, 10395, 22127, 22176, 27869, 27918, 69053, 69102, 101030, 101079]"
"('SETHNER.scala', 'seth.ner.SETHNER$$anonfun$1', 'apply$mcII$sp', '\\s', 'T')","[11435, 11484, 18464, 18513, 38066, 38115, 49847, 49896, 50243, 50292, 101921, 101970]"
