"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', 'aid')",[2184]
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'The association with an LTI Tool allows for links to be established directly from the online gradebook or reporting system to the external Tool.  For example, it would allow an instructor to click on a score in the gradebook and navigate into the learning application to view the student responses to individual questions within an assignment.')","[27987, 59819]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:Incomplete rdf:type po:ResultStatus ;')","[32641, 64652]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range pe:CourseSection ;')","[27519, 59333]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ')","[14727, 14831, 14883, 15923, 16027, 16079, 46049, 46157, 46211, 47291, 47399, 47453]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""This container holds information about the result of a learner\'s interaction with an assignment.  Among other data, it contains the learner\'s score on the assignment."" .')","[24425, 56120]"
"('ComponentPatternParser.java', 'com.hp.hpl.jena.iri.impl.ComponentPatternParser', 'classify', '([(](?![?]))|([(][?])|([)])|(\\[)|(\\])|([@][{])|([}]|[a-z]-[a-z])', '}')","[1836, 2358, 2938, 6650]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    )')","[12725, 12959, 13141, 27077, 31003, 43970, 44213, 44402, 58874, 62951]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', 'po:contentLocation rdf:type rdf:Property ;')","[28871, 60737]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The date and time when the conversation started."" .')","[14103, 45401]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  </xsd:simpleType>')","[15481, 15611, 15767, 16677, 46832, 46967, 47129, 48074]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://purl.org/pearson/core/v1/vocab/datatypes#')","[10338, 11030, 34475, 35152, 36789, 37466, 39103, 39780, 41474, 42166, 66539, 67261]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:comment ""The number of points subtracted from the learner\'s score due to a penalty such as submitting the assignment after the due date."" .')","[29339, 61223]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '    ""NumericLimits"" : ""po:NumericLimits"",')","[18809, 50288]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  rdfs:range xsd:boolean ;')","[27259, 59063]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '  ""@id"" : ""http://purl.org/pearson/core/v1/ctx/outcomes/GradebookItemEvent"",')","[18315, 49775]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      pm:GET ')","[12621, 43862]"
"('LdAssetManagerImpl.java', 'org.semantictools.jsonld.impl.LdAssetManagerImpl', 'readAsset', '<[^:]*:schema', '      ""@id"" : ""pm:version"",')","[21227, 52799]"
"('Parser.java', 'com.hp.hpl.jena.iri.impl.Parser', '<init>', '(([^:/?#]*):)?(//((([^/?#@]*)@)?(\\[[^/?#]*\\]|([^/?#:]*))?(:([^/?#]*))?))?([^#?]*)?(\\?([^#]*))?(#(.*))?', 'http://jena.hpl.hp.com/schemas/2003/03/ont-manager#DocumentManagerPolicy')",[7715]
