"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' bool CMSPrecleaningEnabled                = true             {product}')",[13857]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', 'uintx AHRMaxSize                           = 104857600        {product}')",[5601]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' intx G1ConcRefinementGreenZone            = 0                {product}')",[21825]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool UseAdaptiveSizeDecayMajorGCCost           = true            {product}           ')","[111753, 182980, 212422, 242955]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 264485K->2341K(423936K), 0.0430700 secs]')",[262527]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool ReflectionWrapResolutionErrors            = true            {product}           ')","[102393, 178876, 208318, 238851]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', 'I got a result! runtime: 27348737.000000ns')",[256179]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '    uintx CMSWorkQueueDrainThreshold                = 10              {product}           ')","[71841, 167056, 196498, 227031]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '115       java.util.AbstractCollection::<init> (5 bytes)')",[136041]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '    ccstr TraceJVMTI                                =                 {product}           ')","[109761, 182200, 211642, 242175]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     intx G1MarkRegionStackSize                     = 1048576         {product}           ')",[79041]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '2013-02-11T20:15:26.753-0600: 0.144: [Full GC 486K->486K(62848K), 0.0036170 secs]')",[125505]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' 68       java.lang.StringBuilder::append (8 bytes)')",[133353]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' bool CMSYield                             = true             {product}')",[15393]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[GC 265686K->264485K(423936K), 0.0029430 secs]')",[260175]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     intx InteriorEntryAlignment                    = 16              {C2 pd product}     ')","[171628, 201070, 231603]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool UseParallelOldGC                          = true            {product}           ')","[185116, 214558, 245091]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' 77       java.util.ArrayList$Itr::hasNext (20 bytes)')",[133929]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', 'I got a result! runtime: 105915328.000000ns')",[259347]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool TraceGen1Time                             = false           {product}           ')","[109689, 182164, 211606, 242139]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', 'I got a result! runtime: 43488326.000000ns')",[265407]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '    uintx StringTableSize                           = 60013           {product}           ')","[180016, 209458, 239991]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', 'uintx CMSIncrementalSafetyFactor           = 10               {product}')",[11529]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' bool G1PrintHeapRegions                   = false            {diagnostic}')",[22449]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' intx BiasedLockingStartupDelay            = 4000             {product}')",[9057]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '    523    8    b        java.lang.String::charAt (29 bytes)')",[246783]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '159       java.lang.String::toUpperCase (442 bytes)')",[138513]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '    uintx RamLimit                                  = 0               {product}           ')",[101553]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool UseNewLongLShift                          = false           {product}           ')",[115521]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool AHRByPromoToAllocRatio                    = false           {product}           ')",[60489]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool BytecodeVerificationLocal                 = false           {product}           ')","[65457, 164080, 193522, 224055]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '2013-02-11T20:15:26.757-0600: 0.148: [Full GC 486K->486K(62848K), 0.0036000 secs]')",[125553]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '     bool LoopUnswitching                           = true            {C2 product}        ')","[86601, 172492, 201934, 232467]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '    uintx GoogleMaxGarbageHeapzTraces               = 200             {product}           ')",[82185]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' bool ResizePLAB                           = true             {product}')",[44457]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' intx Tier1Inline                          = 0                {C2 product}')",[48681]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     bool AlignVector                               = true            {C2 product}        ')","[162856, 192298, 222831]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' bool PrintPLAB                            = false            {product}')",[41433]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 264486K->2342K(423936K), 0.0615480 secs]')",[272403]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool CMSConcurrentMTEnabled                    = true            {product}           ')","[66993, 164848, 194290, 224823]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '198   made not entrant  (2)  sun.security.util.ObjectIdentifier::equals (69 bytes)')",[141993]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' bool UseAdaptiveGCBoundary                = false            {product}')",[51945]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '    uintx AHRMaxMinorInvocationsPerMajor            = 30              {product}           ')",[60777]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' bool UseStringCache                       = false            {product}')",[57681]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', 'uintx CMSIncrementalOffset                 = 0                {product}')",[11361]
"('CaliperConfig.java', 'com.google.caliper.config.CaliperConfig', 'mapGroupNamesToClasses', '(\\w+)\\.class', 'test.class')","[292833, 293039]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '   1607  144    b        java.lang.Class::getMethod0 (97 bytes)')",[150873]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '   2516  111  s b        java.lang.StringBuffer::append (8 bytes)')",[249675]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '   1189   91    b        java.lang.Character::isWhitespace (5 bytes)')",[148305]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', 'I got a result! runtime: 105159635.000000ns')",[269679]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     intx CICompilerCount                          := 1               {product}           ')","[164404, 193846, 224379]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool PrintOldPLAB                              = false           {product}           ')","[99321, 177556, 206998, 237531]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '   3040  192    b        java.util.regex.ASCII::getType (17 bytes)')",[153657]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 6687K->6304K(244736K), 0.1253020 secs]')",[250107]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' bool UseLoopPredicate                     = true             {C2 product}')",[54993]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '  15172  199    b        java.util.concurrent.locks.AbstractOwnableSynchronizer::getExclusiveOwnerThread (5 bytes)')",[154065]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '[Full GC 2405K->2341K(423936K), 0.0268620 secs]')",[260679]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '109       java.util.Collections$EmptyMap::get (2 bytes)')",[135657]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' intx SuspendRetryCount                    = 50               {product}')",[47025]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', ' intx NativeMonitorSpinLimit               = 20               {product}')",[32865]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', ' intx CMSTriggerPermRatio                  = 80               {product}')",[14961]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', ' intx InitialTenuringThreshold             = 7                {product}')",[26577]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '  18148  255  s b        java.io.BufferedInputStream::read (49 bytes)')",[158001]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*\\[(?:(Full) )?GC.*(\\d+\\.\\d+) secs\\]', '     bool UseAutoGCSelectPolicy                     = false           {product}           ')","[112137, 183172, 212614, 243147]"
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '\\s*(\\w+)\\s+(\\w+)\\s+:?=\\s+([^\\s]*)\\s+\\{([^}]*)\\}\\s*', '     intx MethodHandlePushLimit                     = 3               {diagnostic}        ')",[89001]
"('LogMessageParser.java', 'com.google.caliper.bridge.LogMessageParser', 'parse', '.*::.*( \\(((\\d+ bytes)|(static))\\))?', '   2063  177    b        com.google.common.io.LineBuffer::add (201 bytes)')",[152769]
