"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'OpeningTime.class')","[178099, 209083]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'fromConnector240Volt3Phase32Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[6787, 6818, 6849, 9267, 9298, 9329, 14517, 14541, 14565, 22618, 22648, 22678, 30594, 30629, 30664, 33394, 33429, 33464, 39476, 39504, 39532, 49908, 49936, 49964, 57424, 57457, 57490, 60064, 60097, 60130, 65730, 65756, 65782, 73059, 73091, 73123, 81495, 81532, 81569, 84455, 84492, 84529, 90953, 90983, 91013, 103140, 103175, 103210, 112266, 112306, 112346, 115466, 115506, 115546, 122588, 122621, 122654, 131124, 131161, 131198, 140710, 140752, 140794, 144070, 144112, 144154, 213827, 213867, 213907, 215975, 216017, 216059]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'notify')","[188167, 189427, 190687, 191947, 193207, 194467, 195727, 196987, 198247, 199507, 200767, 202027, 203256, 204515, 205744, 210272]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'vas')","[160648, 167140]"
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'clone')","[188087, 189347, 190607, 191867, 193127, 194387, 195647, 196907, 198167, 199427, 200687, 201947, 203178, 204435, 205666, 210194]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'fromConnector240Volt1Phase12Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[6043, 6074, 6105, 8523, 8554, 8585, 13941, 13965, 13989, 21898, 21928, 21958, 29754, 29789, 29824, 32554, 32589, 32624, 38804, 38832, 38860, 49236, 49264, 49292, 56632, 56665, 56698, 59272, 59305, 59338, 65106, 65132, 65158, 72291, 72323, 72355, 80607, 80644, 80681, 83567, 83604, 83641, 90233, 90263, 90293, 102300, 102335, 102370, 111306, 111346, 111386, 114506, 114546, 114586, 121796, 121829, 121862, 130236, 130273, 130310, 139702, 139744, 139786, 143062, 143104, 143146, 212867, 212907, 212947, 214967, 215009, 215051]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'newChargingStationSetNullOperatorSetsUnknown(io.motown.vas.viewmodel.model.ChargingStationTest)')","[359, 383, 407, 5051, 5082, 5113, 7407, 7438, 7469, 13269, 13293, 13317, 15936, 20921, 20951, 20981, 21542, 21570, 21598, 28634, 28669, 28704, 31294, 31329, 31364, 38020, 38048, 38076, 48325, 48353, 48381, 48904, 48930, 48956, 55576, 55609, 55642, 58084, 58117, 58150, 64378, 64404, 64430, 71248, 71280, 71312, 71911, 71941, 71971, 79423, 79460, 79497, 82235, 82272, 82309, 89393, 89423, 89453, 101158, 101193, 101228, 101884, 101917, 101950, 110026, 110066, 110106, 113066, 113106, 113146, 120872, 120905, 120938, 129028, 129065, 129102, 129796, 129831, 129866, 138358, 138400, 138442, 141550, 141592, 141634, 210813, 210853, 210893, 211617, 211659, 211701]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationConfiguredEventVerifyChargingCapabilities(io.motown.vas.viewmodel.VasEventHandlerTest)')","[3005, 3037, 3069, 11575, 11600, 11625, 18545, 18576, 18607, 26332, 26368, 26404, 36054, 36083, 36112, 42254, 42283, 42312, 46105, 46134, 46163, 53402, 53436, 53470, 62548, 62575, 62602, 68716, 68749, 68782, 76993, 77031, 77069, 87291, 87322, 87353, 93925, 93956, 93987, 98392, 98428, 98464, 107404, 107445, 107486, 118566, 118600, 118634, 126106, 126144, 126182, 135608, 135651, 135694, 147766, 147808, 147850, 153520, 153565, 153610]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'entities')",[178840]
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'ComponentStatus$1.class')",[172999]
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'chargingStationMadeReservableEventChargingStationReservable(io.motown.vas.viewmodel.VasEventHandlerTest)')","[1821, 10650, 15350, 17398, 25000, 34981, 41181, 45032, 52144, 61549, 67495, 75587, 86144, 92778, 97060, 105887, 117308, 124700, 134017, 146212, 151855]"
"('Description.java', 'org.junit.runner.Description', 'parseMethod', '(.*)\\((.*)\\)', 'fromConnector480Volt3Phase32Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[7004, 9484, 14685, 16271, 22828, 30839, 33639, 39672, 50104, 57655, 60295, 65912, 73283, 81754, 84714, 91163, 103385, 112546, 115746, 122819, 131383, 141004, 144364, 214107, 216269]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qtarget\\E', 'target')","[156702, 157430, 158158, 158837, 159578, 160312, 161040, 161719, 162460, 163194, 163922, 164650, 165329, 166070, 166804, 167532, 168211, 168952, 169693, 170434, 171175, 171916, 172657, 173391, 174119, 174798, 175489, 176243, 176997, 177751, 178498, 179239, 179930, 180684, 181438, 182192, 182946, 183693, 184427, 185155, 185883, 186611, 206168, 206993, 207818, 208643]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'Evse.class')","[177345, 208258]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'fromConnector240Volt1Phase16Amp(io.motown.vas.viewmodel.model.ChargingCapabilityTest)')","[6167, 6198, 6229, 8647, 8678, 8709, 14037, 14061, 14085, 22018, 22048, 22078, 29894, 29929, 29964, 32694, 32729, 32764, 38916, 38944, 38972, 49348, 49376, 49404, 56764, 56797, 56830, 59404, 59437, 59470, 65210, 65236, 65262, 72419, 72451, 72483, 80755, 80792, 80829, 83715, 83752, 83789, 90353, 90383, 90413, 102440, 102475, 102510, 111466, 111506, 111546, 114666, 114706, 114746, 121928, 121961, 121994, 130384, 130421, 130458, 139870, 139912, 139954, 143230, 143272, 143314, 213027, 213067, 213107, 215135, 215177, 215219]"
"('Description.java', 'org.junit.runner.Description', 'getClassName', '(.*)\\((.*)\\)', 'chargingStationMovedEventCoordinatesEmptyAddress(io.motown.vas.viewmodel.VasEventHandlerTest)')","[1341, 1373, 1405, 10275, 10300, 10325, 16933, 16964, 16995, 24460, 24496, 24532, 34546, 34575, 34604, 40746, 40775, 40804, 44597, 44626, 44655, 51634, 51668, 51702, 61144, 61171, 61198, 67000, 67033, 67066, 75017, 75055, 75093, 85679, 85710, 85741, 92313, 92344, 92375, 96520, 96556, 96592, 105272, 105313, 105354, 116798, 116832, 116866, 124130, 124168, 124206, 133372, 133415, 133458, 145582, 145624, 145666, 151180, 151225, 151270]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qviewmodel\\E', 'viewmodel')","[156982, 157710, 158438, 159122, 159863, 160592, 161320, 162004, 162745, 163474, 164202, 164930, 165614, 166355, 167084, 167812, 168496, 169237, 169978, 170719, 171460, 172201, 172942, 173671, 174399, 175083, 175779, 176533, 177287, 178041, 178783, 179524, 180220, 180974, 181728, 182482, 183236, 183978, 184707, 185435, 186163, 186891, 206443, 207268, 208093, 208918]"
